Year,Cents per KwH,CPI Value,Real Price,State
2018,19.64,250.5,13.89,AK
2017,19.1,245.1,13.80,AK
2016,17.93,240,13.23,AK
2015,17.59,237,13.14,AK
2014,17.46,236.7,13.06,AK
2013,16.49,233,12.53,AK
2012,16.33,229.6,12.60,AK
2011,16.08,224.9,12.66,AK
2010,14.76,218.1,11.99,AK
2009,15.09,214.5,12.46,AK
2008,14.74,215.3,12.12,AK
2007,13.28,207.3,11.35,AK
2006,12.84,201.6,11.28,AK
2005,11.72,195.3,10.63,AK
2004,10.99,188.9,10.30,AK
2003,10.5,184,10.11,AK
2002,10.46,179.9,10.30,AK
2001,10.54,177.1,10.54,AK
