,State,Population,Real Price,p_cap,cap/person
0,AK,737438.0,11.999444444444444,63.691,8.636793872840836e-05
1,AZ,7171646.0,7.477222222222222,268.3,3.741121633722579e-05
2,AR,3013825.0,5.869999999999999,0.1,3.3180426866191635e-08
3,CA,39557045.0,11.045,4499.905000000002,0.00011375735978256216
4,CO,5695564.0,6.956111111111111,3426.11,0.0006015400757501802
5,CT,3572665.0,12.306666666666667,5.1,1.427505797492908e-06
6,DE,967171.0,8.284444444444446,2.0,2.0678866508611197e-06
7,HI,1420491.0,19.38333333333334,208.86,0.00014703366652798225
8,ID,1754208.0,5.25611111111111,972.5,0.0005543812364326239
9,IL,12741080.0,6.8505555555555535,4612.2379999999985,0.0003619974130921397
10,IN,6691878.0,6.075,2190.1500000000005,0.00032728480704519733
11,IA,3156145.0,6.078888888888887,7626.537999999999,0.0024164092587634594
12,KS,2911505.0,6.749999999999999,5301.433000000001,0.0018208565673079734
13,ME,1338404.0,9.966666666666667,888.7500000000001,0.0006640371666552103
14,MD,6042718.0,8.568333333333333,191.05,3.161656724672573e-05
15,MA,6902149.0,11.74,114.91999999999996,1.664988686856803e-05
16,MI,9995915.0,7.616666666666667,1823.53,0.000182427521642591
17,MN,5611179.0,6.614444444444442,3444.684999999998,0.0006138968298819192
18,MO,6126452.0,6.301666666666666,941.8,0.00015372682263731108
19,MT,1062305.0,6.277777777777778,726.59,0.0006839749412833415
20,NE,1929268.0,5.964444444444445,1958.15,0.0010149704447489929
21,NV,3034392.0,7.54277777777778,151.8,5.0026496247024123e-05
22,NH,1356458.0,11.470555555555556,185.35,0.0001366426384008941
23,NJ,8908520.0,10.351111111111113,9.0,1.010268821308141e-06
24,NM,2095428.0,6.814444444444442,1567.87,0.0007482337737206909
25,NY,19542209.0,12.01888888888889,1918.49,9.817160383455116e-05
26,NC,10383620.0,6.753333333333333,208.1,2.004118024349889e-05
27,ND,760077.0,5.8277777777777775,2943.47,0.0038725944871374866
28,OH,11689442.0,6.949444444444445,726.0800000000003,6.211417106137318e-05
29,OK,3943079.0,6.015,7163.325000000003,0.0018166831047513887
30,OR,4190713.0,6.143888888888887,2792.05,0.0006662470085639366
31,PA,12807060.0,7.707222222222222,1211.9500000000005,9.463139861919914e-05
32,RI,1057315.0,11.27611111111111,74.785,7.07310498763377e-05
33,SD,882235.0,6.4300000000000015,898.2080000000002,0.0010181051533888364
34,TN,6770010.0,6.5100000000000025,27.0,3.988177270048345e-06
35,TX,28701845.0,7.288888888888887,22650.775000000005,0.0007891748770854281
36,UT,3161105.0,5.707222222222222,331.29,0.00010480196007408802
37,VT,626299.0,10.588333333333336,117.4,0.0001874504030822339
38,WA,7535591.0,5.477222222222222,2841.550000000001,0.0003770838942824791
39,WV,1805832.0,5.5155555555555535,572.1,0.0003168068790452268
40,WI,5813568.0,7.3655555555555585,694.05,0.00011938451567092706
41,WY,577737.0,5.158333333333331,1352.8199999999995,0.002341584492597842
