,State,Latitude,Longitude,City,Population,Real Price,p_cap,cap/person
0,AK,61.3025006,-158.7750198,Alaska,737438.0,11.999444444444444,63.691,8.636793872840836e-05
1,AZ,34.1682185,-111.930907,Arizona,7171646.0,7.477222222222222,268.3,3.741121633722579e-05
2,AR,34.7519275,-92.13137840000002,Arkansas,3013825.0,5.869999999999999,0.1,3.3180426866191635e-08
3,CA,37.2718745,-119.2704153,California,39557045.0,11.045,4499.905000000002,0.00011375735978256216
4,CO,38.9979339,-105.55056699999999,Colorado,5695564.0,6.956111111111111,3426.11,0.0006015400757501802
5,CT,41.518783500000005,-72.75750699999999,Connecticut,3572665.0,12.306666666666667,5.1,1.427505797492908e-06
6,DE,39.145251,-75.41892059999999,Delaware,967171.0,8.284444444444446,2.0,2.0678866508611197e-06
7,HI,20.46,-157.505,Hawaii,1420491.0,19.38333333333334,208.86,0.00014703366652798225
8,ID,45.4945756,-114.1424303,Idaho,1754208.0,5.25611111111111,972.5,0.0005543812364326239
9,IL,39.739318,-89.504139,Illinois,12741080.0,6.8505555555555535,4612.2379999999985,0.0003619974130921397
10,IN,39.7662195,-86.441277,Indiana,6691878.0,6.075,2190.1500000000005,0.00032728480704519733
11,IA,41.9383166,-93.389798,Iowa,3156145.0,6.078888888888887,7626.537999999999,0.0024164092587634594
12,KS,38.4987789,-98.32007790000002,Kansas,2911505.0,6.749999999999999,5301.433000000001,0.0018208565673079734
13,ME,45.2185133,-69.0148656,Maine,1338404.0,9.966666666666667,888.7500000000001,0.0006640371666552103
14,MD,38.806352399999994,-77.2684162,Maryland,6042718.0,8.568333333333333,191.05,3.161656724672573e-05
15,MA,42.062939799999995,-71.718067,Massachusetts,6902149.0,11.74,114.91999999999996,1.664988686856803e-05
16,MI,44.9435598,-86.41580490000001,Michigan,9995915.0,7.616666666666667,1823.53,0.000182427521642591
17,MN,46.4418595,-93.3655146,Minnesota,5611179.0,6.614444444444442,3444.684999999998,0.0006138968298819192
18,MO,38.3046615,-92.437099,Missouri,6126452.0,6.301666666666666,941.8,0.00015372682263731108
19,MT,46.6797995,-110.04478300000001,Montana,1062305.0,6.277777777777778,726.59,0.0006839749412833415
20,NE,41.5008195,-99.680902,Nebraska,1929268.0,5.964444444444445,1958.15,0.0010149704447489929
21,NV,38.502032,-117.0230604,Nevada,3034392.0,7.54277777777778,151.8,5.0026496247024123e-05
22,NH,44.00123060000001,-71.57992309999999,New Hampshire,1356458.0,11.470555555555556,185.35,0.0001366426384008941
23,NJ,40.1430058,-74.7311156,New Jersey,8908520.0,10.351111111111113,9.0,1.010268821308141e-06
24,NM,34.1662325,-106.02606850000001,New Mexico,2095428.0,6.814444444444442,1567.87,0.0007482337737206909
25,NY,40.7056258,-73.97968,New York,19542209.0,12.01888888888889,1918.49,9.817160383455116e-05
26,NC,35.2145629,-79.8912675,North Carolina,10383620.0,6.753333333333333,208.1,2.004118024349889e-05
27,ND,47.467881899999995,-100.3022655,North Dakota,760077.0,5.8277777777777775,2943.47,0.0038725944871374866
28,OH,40.1903624,-82.6692525,Ohio,11689442.0,6.949444444444445,726.0800000000003,6.211417106137318e-05
29,OK,35.309765399999996,-98.71655849999999,Oklahoma,3943079.0,6.015,7163.325000000003,0.0018166831047513887
30,OR,44.1419049,-120.5380993,Oregon,4190713.0,6.143888888888887,2792.05,0.0006662470085639366
31,PA,40.99459279999999,-77.6046984,Pennsylvania,12807060.0,7.707222222222222,1211.9500000000005,9.463139861919914e-05
32,RI,41.5827282,-71.5064508,Rhode Island,1057315.0,11.27611111111111,74.785,7.07310498763377e-05
33,SD,44.2126995,-100.24716409999999,South Dakota,882235.0,6.4300000000000015,898.2080000000002,0.0010181051533888364
34,TN,35.830521000000005,-85.97859890000001,Tennessee,6770010.0,6.5100000000000025,27.0,3.988177270048345e-06
35,TX,31.1693363,-100.0768425,Texas,28701845.0,7.288888888888887,22650.775000000005,0.0007891748770854281
36,UT,39.4997605,-111.547028,Utah,3161105.0,5.707222222222222,331.29,0.00010480196007408802
37,VT,43.8717545,-72.4477828,Vermont,626299.0,10.588333333333336,117.4,0.0001874504030822339
38,WA,38.899348700000004,-77.0145665,Washington,7535591.0,5.477222222222222,2841.550000000001,0.0003770838942824791
39,WV,38.920170500000005,-80.1816905,West Virginia,1805832.0,5.5155555555555535,572.1,0.0003168068790452268
40,WI,44.7862968,-89.82670490000001,Wisconsin,5813568.0,7.3655555555555585,694.05,0.00011938451567092706
41,WY,43.000325,-107.5545669,Wyoming,577737.0,5.158333333333331,1352.8199999999995,0.002341584492597842
